Uniprot id,Gene,Pep Count,log2_fc,q-value
O00574,CXCR6,2,5.718,0
P19397,CD53,3,5.408,0
P09564,CD7,2,5.369,0
P05187,ALPP,13,5.225,0
Q07075,ENPEP,40,5.153,0
P22732,SLC2A5,9,5.081,0
P15509,CSF2RA,14,5.033,0
P15328,FOLR1,2,4.848,0
P13726,F3,8,4.836,0
Q9BYF1,ACE2,4,4.83,0
P25106,ACKR3,3,4.825,0
Q6Q4G3,LVRN,28,4.801,0
O95274,LYPD3,2,4.778,0
Q14002,CEACAM7,2,4.731,0
O95477,ABCA1,111,4.688,0
P78380,OLR1,2,4.661,0
P34910,EVI2B,7,4.644,0
P10696,ALPG,25,4.638,0
P22607,FGFR3,16,4.625,0
Q92887,ABCC2,32,4.599,0
P34972,CNR2,9,4.569,0
P98164,LRP2,106,4.55,0
P13796,LCP1,21,4.525,0
P08887,IL6R,7,4.493,0
Q14956,GPNMB,7,4.45,0
P58107,EPPK1,100,4.333,0
Q6ZQN7,SLCO4C1,13,4.331,0
P55017,SLC12A3,18,4.33,0
P48960,CD97,17,4.313,0
Q9UGT4,SUSD2,27,4.2,0
Q6P5W5,SLC39A4,3,4.193,0
Q695T7,SLC6A19,5,4.168,0
Q5TF39,MFSD4B,5,4.109,0
Q03431,PTH1R,3,4.032,0
Q9NSA0,SLC22A11,2,3.994,0.000009
O75051,PLXNA2,47,3.974,0
Q9UM01,SLC7A7,5,3.92,0
P09758,TACSTD2,8,3.91,0
Q8WWY8,LIPH,11,3.878,0
Q9HC56,PCDH9,4,3.834,0
Q9UNQ0,ABCG2,17,3.81,0
P36269,GGT5,11,3.804,0
Q9BZV2,SLC19A3,7,3.73,0
Q16849,PTPRN,3,3.725,0
Q99650,OSMR,14,3.715,0
P13688,CEACAM1,5,3.712,0
Q13467,FZD5,6,3.701,0
P51685,CCR8,2,3.667,0
Q8TDB8,SLC2A14,2,3.507,0
Q8NFJ5,GPRC5A,6,3.496,0
P40189,IL6ST,23,3.493,0
Q96JP9,CDHR1,12,3.48,0
Q92729,PTPRU,37,3.47,0
P55085,F2RL1,11,3.4,0.000001
Q9BXB1,LGR4,13,3.377,0
Q5MY95,ENTPD8,5,3.369,0
Q9BZM6,ULBP1,8,3.367,0
Q9Y3Z3,SAMHD1,41,3.366,0
P17931,LGALS3,6,3.348,0
Q9NZQ7,CD274,6,3.347,0
P56730,PRSS12,7,3.341,0
Q9Y210,TRPC6,4,3.304,0
P15309,ACPP,2,3.266,0
Q92911,SLC5A5,3,3.241,0
Q9NRQ2,PLSCR4,4,3.24,0
P04083,ANXA1,10,3.235,0
P15151,PVR,10,3.221,0
P32970,CD70,4,3.211,0.000002
Q92835,INPP5D,5,3.188,0
Q9UQF0,ERVW-1,2,3.182,0
P15144,ANPEP,49,3.163,0
Q02539,HIST1H1A,4,3.154,0
Q8TF71,SLC16A10,9,3.13,0
Q8N9I0,SYT2,13,3.127,0
P41273,TNFSF9,4,3.12,0
P60903,S100A10,5,3.065,0
Q5T9A4,ATAD3B,15,3.054,0
P19440,GGT1,16,3.036,0
O14494,PLPP1,2,3.034,0
Q6P4Q7,CNNM4,41,3.032,0
Q9Y5S1,TRPV2,3,3.03,0
Q9Y5J5,PHLDA3,4,3.028,0
Q9Y446,PKP3,28,3.026,0
P31431,SDC4,8,3.021,0.000315
P59190,RAB15,8,3.011,0
Q9NQ36,SCUBE2,2,3.002,0.000005
Q9Y4D7,PLXND1,73,2.977,0
P46020,PHKA1,17,2.971,0
Q9UL52,TMPRSS11E,5,2.886,0
P14317,HCLS1,2,2.878,0.000001
P04920,SLC4A2,48,2.837,0
Q5T5C0,STXBP5,2,2.793,0
Q9HBG4,ATP6V0A4,8,2.767,0
Q8NBS3,SLC4A11,20,2.747,0
P17181,IFNAR1,8,2.715,0
Q9UHW9,SLC12A6,42,2.711,0
Q86VE9,SERINC5,5,2.693,0
Q09666,AHNAK,42,2.68,0
Q93038,TNFRSF25,2,2.649,0
Q96NI6,LRFN5,2,2.64,0
P30511,HLA-F,2,2.637,0
Q9NZU0,FLRT3,22,2.634,0.000002
Q8N387,MUC15,5,2.626,0
P51795,CLCN5,6,2.624,0
B0I1T2,MYO1G,13,2.607,0
Q9HCJ1,ANKH,3,2.576,0
Q8IZJ1,UNC5B,22,2.567,0.000001
P42685,FRK,3,2.522,0
P19634,SLC9A1,27,2.475,0
P07355,ANXA2,32,2.459,0
P08727,KRT19,4,2.454,0
Q99653,CHP1,10,2.447,0
P33151,CDH5,6,2.446,0.000098
